filename,title,date,genre,translator
1894_ADogWithoutAMaster,A Dog Without A Master,1894,short story,Lofmark
1894_TheHistoryTeacher,The History Teacher,1894,short story,Lofmark
1895_TheChimneysweepsWife,The Chimney Sweep's Wife,1895,short story,Lofmark
1897_Drizzle,Drizzle,1897,short story,Lofmark
1897_Killing,Killing,1897,short story,Lofmark
1897_PatriarchPapinianus,Patriarch Papinianus,1897,short story,Lofmark
1897_TheDreamOfEternity,The Dream Of Eternity,1897,short story,Lofmark
1897_TheFurCoat,The Fur Coat,1897,short story,Lofmark
1897_TheSketchInIndianInk,The Sketch In Indian Ink,1897,short story,Lofmark
1897_TheWagesofSin,The Wages of Sin,1897,short story,Lofmark
1897_VoxPopuli,Vox Populi,1897,short story,Lofmark
1898_ArchimedesPoint,Archimedes Point,1898,short story,Lofmark
1898_TheClown,The Clown,1898,short story,Lofmark
1900_TheSixthSense,The Sixth Sense,1900,short story,Lofmark
1901_Rugg,Rugg,1901,short story,Lofmark
1901_SatanTheMajorandtheCourtChaplain,Satan The Major and the Court Chaplain,1901,short story,Lofmark
1901_TheParsonsCows,The Parsons Cows,1901,short story,Lofmark
1903_AfterDinner,After Dinner,1903,short story,Lofmark
1903_TheKiss,The Kiss,1903,short story,Lofmark
1904_TheConsulGeneralAtThePalaceBall,The Consul General At The Palace Ball,1904,short story,Lofmark
1905_TheBurningTown,The Burning Town,1905,short story,Lofmark
1905_TheChinese,The Chinese,1905,short story,Lofmark
1913_TheTalentedDragon,The Talented Dragon,1913,short story,Lofmark
1925_TheSonataofErrors,The Sonata of Errors,1925,short story,Lofmark
1931_TheStoveThatWasntReal,The Stove That Wasnt Real,1931,short story,Lofmark
1907_Bloom,Bloom,1907,short story,Stork
1903_TheBlueAnchor,The Blue Anchor,1903,short story,Stork
1898_Communion,Communion,1898,short story,Stork
1895_WithTheCurrent,With The Current,1895,short story,Stork
1898_TrueStory,True Story,1898,short story,Stork
1907_TheDarknessGathers,The Darkness Gathers,1907,short story,Stork
1907_TheMisconductMark,The Misconduct Mark,1907,short story,Stork
1893_ThePortrait,The Portrait,1893,short story,Stork
1898_ACupOfTea,A Cup Of Tea,1898,short story,Stork
1905_DoctorGlas,Doctor Glas,1905,novel,Austin
1901_MartinBircksYouth,Martin Bircks Youth,1901,novel,Ellett
1912_TheSeriousGame,The Serious Game,1912,novel,Claeson
